[Header]
; DC Raw Data File (default extension .raw)
; Copyright 2012, Quantum Design, Inc. All rights reserved.
TITLE,EuMnSb2
FILEOPENTIME,3933001230.47258,08/16/2024,8:20 pm
BYAPP,MPMS3 DC RAW DATA,1.0,1.1
INFO,MPMS3 Option Release 1.1.16 Build 433, Release 2.3.4.26,APPNAME
INFO,TCI274,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,EuMnSb2,SAMPLE_MATERIAL
INFO,H//a,SAMPLE_COMMENT
INFO,2.7,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.26,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,3
STARTUPAXIS,Y1,4
STARTUPAXIS,Y2,5
STARTUPAXIS,Y2,6
STARTUPAXIS,Y2,7
STARTUPAXIS,Y3,8
STARTUPAXIS,Y3,9
,3933001220.91009,52.244571685791,0.226927205920219
,3933001220.91009,52.5289993286133,0.224753752350807
,3933001220.91009,52.8132858276367,0.222939893603325
,3933001220.91009,53.097713470459,0.220715776085854
,3933001220.91009,53.3818550109863,0.219105646014214
,3933001220.91009,53.666431427002,0.216884180903435
,3933001220.91009,53.9511413574219,0.215072557330132
,3933001220.91009,54.2352867126465,0.213012292981148
,3933001220.91009,54.5200004577637,0.211175233125687
,3933001220.91009,54.8029975891113,0.208831638097763
,3933001220.91009,55.0879974365234,0.206616252660751
,3933001220.91009,55.3722839355469,0.204185962677002
,3933001220.91009,55.6570014953613,0.202111229300499
,3933001220.91009,55.9407119750977,0.199859723448753
,3933001220.91009,56.2239990234375,0.197027817368507
,3933001220.91009,56.5074272155762,0.194608062505722
,3933001220.91009,56.790714263916,0.191955432295799
,3933001220.91009,57.0739974975586,0.189307227730751
,3933001220.91009,57.3565711975098,0.18663589656353
,3933001220.91009,57.6401405334473,0.184362173080444
,3933001220.91009,57.9237174987793,0.181674212217331
,3933001220.91009,58.2084274291992,0.179136127233505
,3933001220.91009,58.4915733337402,0.176432371139526
,3933001220.91009,58.7744293212891,0.174267590045929
,3933001220.91009,59.0561408996582,0.171604350209236
,3933001220.91009,59.3392868041992,0.169500783085823
,3933001220.91009,59.6222839355469,0.167198866605759
,3933001220.91009,59.9058609008789,0.165420144796371
,3933001220.91009,60.1879997253418,0.163453057408333
,3933001220.91009,60.470287322998,0.161604434251785
,3933001220.91009,60.7522850036621,0.160173609852791
,3933001220.91009,61.0347137451172,0.158902630209923
,3933001220.91009,61.3154296875,0.157534882426262
,3933001220.91009,61.5968551635742,0.156684324145317
,3933001220.91009,61.8771438598633,0.156233876943588
,3933001220.91009,62.1562843322754,0.155569016933441
,3933001220.91009,62.4358596801758,0.155327528715134
,3933001220.91009,62.7134284973145,0.15547887980938
