[Header]
; DC Raw Data File (default extension .raw)
; Copyright 2012, Quantum Design, Inc. All rights reserved.
TITLE,EuAuAs
FILEOPENTIME,3932964027.31326,08/16/2024,10:00 am
BYAPP,MPMS3 DC RAW DATA,1.0,1.1
INFO,MPMS3 Option Release 1.1.16 Build 433, Release 2.3.4.26,APPNAME
INFO,TCI274,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,EuAuAs,SAMPLE_MATERIAL
INFO,H//c,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.66,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,3
STARTUPAXIS,Y1,4
STARTUPAXIS,Y2,5
STARTUPAXIS,Y2,6
STARTUPAXIS,Y2,7
STARTUPAXIS,Y3,8
STARTUPAXIS,Y3,9
,3932964017.18232,37.1831436157227,0.951200187206268
,3932964017.18232,37.4674301147461,0.937126457691193
,3932964017.18232,37.753002166748,0.923060476779938
,3932964017.18232,38.0371437072754,0.908987700939178
,3932964017.18232,38.3228569030762,0.894913911819458
,3932964017.18232,38.6074295043945,0.880816161632538
,3932964017.18232,38.8922843933105,0.866710960865021
,3932964017.18232,39.1769981384277,0.852616786956787
,3932964017.18232,39.4602851867676,0.838532269001007
,3932964017.18232,39.7449989318848,0.824472725391388
,3932964017.18232,40.0288581848145,0.810371339321137
,3932964017.18232,40.3141441345215,0.796351790428162
,3932964017.18232,40.5978546142578,0.782273054122925
,3932964017.18232,40.8824310302734,0.768132627010345
,3932964017.18232,41.1671447753906,0.753967702388763
,3932964017.18232,41.451000213623,0.739738464355469
,3932964017.18232,41.7352867126465,0.72549033164978
,3932964017.18232,42.0197105407715,0.71117240190506
,3932964017.18232,42.3040008544922,0.696737349033356
,3932964017.18232,42.5877151489258,0.682193577289581
,3932964017.18232,42.8722839355469,0.667561054229736
,3932964017.18232,43.1557121276855,0.652847111225128
,3932964017.18232,43.4405708312988,0.63806563615799
,3932964017.18232,43.7248573303223,0.623206675052643
,3932964017.18232,44.008716583252,0.608270108699799
,3932964017.18232,44.2937164306641,0.59325647354126
,3932964017.18232,44.5771446228027,0.578194975852966
,3932964017.18232,44.8618545532227,0.563073396682739
,3932964017.18232,45.1450004577637,0.547858476638794
,3932964017.18232,45.429859161377,0.532571732997894
,3932964017.18232,45.7138557434082,0.517253220081329
,3932964017.18232,45.9987144470215,0.501925468444824
,3932964017.18232,46.2828559875488,0.486616134643555
,3932964017.18232,46.5671424865723,0.471281379461288
,3932964017.18232,46.8508605957031,0.455925524234772
,3932964017.18232,47.1358604431152,0.440549910068512
,3932964017.18232,47.4204292297363,0.425151944160461
,3932964017.18232,47.7045707702637,0.409803122282028
,3932964017.18232,47.989429473877,0.394478350877762
,3932964017.18232,48.2734260559082,0.379192978143692
,3932964017.18232,48.5582847595215,0.363926827907562
,3932964017.18232,48.8428573608398,0.348663032054901
,3932964017.18232,49.1272850036621,0.333433330059052
,3932964017.18232,49.4112854003906,0.318143457174301
,3932964017.18232,49.695858001709,0.30282324552536
,3932964017.18232,49.9804306030273,0.28748881816864
,3932964017.18232,50.2651405334473,0.272158592939377
,3932964017.18232,50.5495719909668,0.256871432065964
,3932964017.18232,50.8332862854004,0.241548597812653
,3932964017.18232,51.1179962158203,0.226195111870766
,3932964017.18232,51.4011421203613,0.210837811231613
,3932964017.18232,51.6851425170898,0.195517808198929
,3932964017.18232,51.9689979553223,0.180275499820709
,3932964017.18232,52.252857208252,0.165073588490486
,3932964017.18232,52.5357131958008,0.149891600012779
,3932964017.18232,52.8198585510254,0.134716302156448
,3932964017.18232,53.1034278869629,0.119563214480877
,3932964017.18232,53.3872833251953,0.104454524815083
,3932964017.18232,53.671573638916,0.0893432796001434
,3932964017.18232,53.9554290771484,0.0742675289511681
,3932964017.18232,54.2389984130859,0.0591885894536972
,3932964017.18232,54.5231437683105,0.0440618507564068
,3932964017.18232,54.8077163696289,0.0290159024298191
,3932964017.18232,55.0914306640625,0.0139402849599719
,3932964017.18232,55.3758583068848,-0.00119876873213798
,3932964017.18232,55.6597137451172,-0.0163130089640617
,3932964017.18232,55.9427146911621,-0.0313582792878151
,3932964017.18232,56.226001739502,-0.0463821738958359
,3932964017.18232,56.5095710754395,-0.0613041333854198
,3932964017.18232,56.7922859191895,-0.0762453824281693
,3932964017.18232,57.0750007629395,-0.0912331268191338
,3932964017.18232,57.3575744628906,-0.106187678873539
,3932964017.18232,57.6399993896484,-0.121102370321751
,3932964017.18232,57.9222869873047,-0.135970667004585
,3932964017.18232,58.2052879333496,-0.150863662362099
,3932964017.18232,58.4878578186035,-0.165767475962639
,3932964017.18232,58.7709999084473,-0.180685922503471
,3932964017.18232,59.0535697937012,-0.195606410503387
,3932964017.18232,59.3361434936523,-0.21051399409771
,3932964017.18232,59.6184272766113,-0.225448176264763
,3932964017.18232,59.9008598327637,-0.240373477339745
,3932964017.18232,60.1829986572266,-0.255293697118759
,3932964017.18232,60.4637145996094,-0.27018666267395
,3932964017.18232,60.7455711364746,-0.285022586584091
,3932964017.18232,61.0277137756348,-0.299856692552567
,3932964017.18232,61.3082847595215,-0.31469988822937
,3932964017.18232,61.5879974365234,-0.329568922519684
,3932964017.18232,61.8671417236328,-0.344446301460266
,3932964017.18232,62.1452865600586,-0.359268307685852
,3932964017.18232,62.4238586425781,-0.37406125664711
,3932964017.18232,62.7001419067383,-0.388868182897568
,3932964017.18232,62.9762840270996,-0.403699994087219
